groupId	userIds
653	893,2245,3953
654	2733,1210,105
655	2680,1076,3214
656	4156,560,1883
657	471,4060,3982
658	2658,2117,2243
659	3947,1244,2482
660	5221,2861,296
661	2072,930,5241
662	335,647,3259
663	5846,607,5570
664	2511,597,5450
665	4692,285,4488
666	5532,5341,5690
667	532,2019,2751
668	5759,4777,5230
669	1482,2876,4914
670	4237,5104,4328
671	245,4249,4641
672	2797,717,4985
673	4528,3990,5464
674	2310,2685,788
675	1760,846,2036
676	4272,5248,5427
677	5975,5805,3689
678	2952,3725,5465
679	1512,5706,5634
680	4184,4144,5413
681	3018,5736,5032
682	5171,4254,3210
683	2418,4816,6016
684	1735,3139,2682
685	3280,2000,3910
686	1897,445,4486
687	254,2263,4334
688	288,4646,2378
689	672,399,629
690	5059,3164,2943
691	3339,2652,128
692	3424,990,3639
693	1711,952,2448
694	3447,3111,4252
695	4307,1871,368
696	3411,3160,3560
697	1100,3440,4700
698	4667,1897,3792
699	485,3215,5621
700	2200,142,4741
701	3296,1888,4499
702	1546,1001,119
703	5956,2777,4455
704	229,4595,4207
705	6005,1359,1451
706	3257,3016,3426
707	4133,180,2685
708	365,1765,5334
709	1186,4117,806
710	165,4649,1319
711	3406,5021,677
712	1130,278,4501
713	4015,1194,3953
714	1056,4260,1290
715	3242,3008,1911
716	1664,3752,2849
717	5178,1742,781
718	2286,3886,2340
719	987,858,22
720	3225,2058,3584
721	3655,3733,3273
722	5074,3483,638
723	3250,4943,1920
724	2312,505,4619
725	2051,1148,391
726	12,1596,4080
727	1324,2055,1615
728	3578,693,1057
729	4253,4610,1921
730	3936,970,1625
731	4280,5199,1203
732	1136,5150,1529
733	2549,4981,2250
734	690,4184,428
735	4736,949,4806
736	782,3347,2419
737	329,3985,3997
738	817,6025,5284
739	5126,3806,1117
740	4921,4905,1471
741	5224,729,3305
742	5897,4777,3865
743	2184,2136,2313
744	5704,4581,3943
745	4048,1569,2237
746	3741,90,3803
747	473,4939,1277
748	2841,3914,3154
749	3323,4186,3296
750	4714,2341,3507
751	2618,235,4210
752	1251,5229,3408
753	1032,5946,1244
754	5915,872,3397
755	1974,3611,132
756	2481,971,3700
757	1058,2535,3974
758	1901,5231,3833
759	2337,3492,1044
760	3279,913,1049
761	1815,1861,1347
762	5222,911,4131
763	4730,2127,1869
764	4276,3599,203
765	4614,5409,3303
766	5484,4179,1413
767	865,1826,2824
768	5004,439,5102
769	5283,2167,1365
770	636,4000,6012
771	4432,3535,4259
772	4104,4105,287
773	1607,1344,4371
774	4129,4959,1022
775	1832,3818,609
776	3394,5768,4635
777	3382,1525,5455
778	1975,4151,1546
779	954,2567,1115
780	3005,373,3693
781	5791,4110,1255
782	3406,3589,2180
783	4955,2042,631
784	1193,505,5096
785	5482,3996,3404
786	2924,2956,2044
787	3071,2963,4540
788	3596,1566,100
789	2207,3358,3401
790	2892,766,4900
791	2647,2509,182
792	1862,1560,3796
793	525,1915,3495
794	3985,1390,4497
795	4246,628,2072
796	51,3856,4958
797	5379,4771,4075
798	5003,4787,776
799	262,2891,2045
800	1809,4948,907
801	5798,3843,4425
802	1506,1939,746
803	3679,5777,5525
804	2273,1974,5035
805	2545,3216,4338
806	2833,201,3262
807	2209,358,2700
808	6021,2173,2752
809	4863,1070,139
810	692,1958,5570
811	3078,959,4557
812	3020,304,2264
813	2258,946,4926
814	1867,5354,3096
815	3338,3318,2504
816	756,2364,280
817	909,2454,1102
818	5958,2324,4766
819	4490,4237,767
820	2980,39,4677
821	1329,4458,3401
822	2664,711,1982
823	865,750,3834
824	912,3148,5440
825	1286,3761,5788
826	4777,5367,46
827	400,464,49
828	4001,124,517
829	5071,4158,4323
830	493,319,1852
831	4690,1786,1391
832	5556,3487,3680
833	1062,1786,4471
834	4597,2197,3178
835	93,5767,527
836	4678,3620,489
837	3581,2249,1179
838	1584,3341,1015
839	180,3174,1729
840	6,3415,3066
841	953,5390,568
842	4071,4799,1112
843	1480,1818,2064
844	5498,1385,4835
845	2103,5147,1138
846	1372,2699,2420
847	2169,3722,1963
848	679,1018,2607
849	5048,3325,495
850	3020,3881,4233
851	2826,2020,772
852	2061,200,3771
853	754,4698,2405
854	107,102,3910
855	4363,5143,5582
856	6014,5651,2040
857	5522,2456,5508
858	5672,3476,4309
859	1136,5435,5066
860	2248,5594,1412
861	4316,5649,1345
862	3371,5700,5230
863	3093,5378,3284
864	2693,26,3062
865	5231,3002,4007
866	4747,3841,5069
867	5860,5443,964
868	3028,1119,4054
869	3040,5333,177
870	4877,5059,5409
871	2519,424,5948
872	2567,4475,2745
873	674,1227,2154
874	2302,897,438
875	4696,4648,2884
876	4208,1611,3475
877	3292,1879,5573
878	3314,5347,4427
879	1339,2095,5368
880	3750,1675,1949
881	1593,1135,898
882	3998,5521,3372
883	33,3677,3325
884	2817,4680,4672
885	2979,2468,2623
886	5290,1739,430
887	2986,5476,5545
888	5428,195,179
889	1062,4581,4418
890	2901,1412,3393
891	1706,167,3707
892	569,5559,2327
893	2566,1579,2047
894	2718,3966,130
895	4790,4261,5957
896	5103,2739,5615
897	1503,4881,1716
898	1538,5894,5659
899	93,1164,3004
900	3117,5834,5821
901	3155,5947,720
902	5357,4227,4331
903	2139,1560,2650
904	5970,2043,4248
905	4630,1983,2951
906	2844,5379,3094
907	5619,3814,2254
908	4759,321,5650
909	5845,1039,327
910	5730,5273,3875
911	1722,3699,4877
912	2457,5234,2556
913	5424,4759,4420
914	230,2489,1283
915	3427,1382,4335
916	1545,2695,1962
917	3689,2441,3670
918	3863,127,1796
919	2184,4575,3243
920	6011,3755,4383
921	1690,1431,5996
922	4479,3949,4923
923	4246,4459,103
924	5412,104,5711
925	5749,3952,3536
926	2559,5286,5196
927	3279,4613,3281
928	4167,2652,3039
929	4254,4743,976
930	2247,5797,5886
931	3499,2760,647
932	3514,1461,6018
933	3178,107,2056
934	712,1834,4159
935	2626,589,2564
936	2645,3247,662
937	4436,602,387
938	427,3053,5459
939	1523,294,3457
940	2971,658,5152
941	797,3536,2794
942	1396,1200,627
943	4035,1588,1719
944	209,3869,3520
945	1543,4406,2513
946	4771,577,2562
947	1082,2799,2386
948	1911,265,4602
949	2179,5830,731
950	3530,3970,3136
951	3231,2206,3531
952	1970,4733,3985
953	5573,1161,1141
954	5932,1027,1717
955	1443,2879,703
956	1351,1791,4543
957	2222,2574,3731
958	2066,5413,2271
959	5635,3956,2803
960	2407,2913,1424
961	5631,3060,5935
962	5926,3888,2815
963	1543,5715,790
964	5977,5052,5006
965	3667,354,4001
966	1053,3604,1227
967	2398,1778,5796
968	1471,3027,5565
969	4471,5828,681
970	2498,5593,313
971	892,2087,5659
972	497,875,2703
973	941,4387,1426
974	3229,2872,4789
975	271,4622,1148
976	4721,471,5044
977	4198,3109,4827
978	2291,3936,986
979	4316,5655,2020
980	4893,3173,6005
981	5948,542,4599
982	5628,1002,1815
983	4913,5431,2992
984	3235,5945,1457
985	5137,2601,2335
986	3229,3982,1483
987	4808,2607,3654
988	3649,4547,3714
989	969,2039,1912
990	1531,4047,4504
991	5087,1211,4856
992	682,906,1032
993	3376,5885,5575
994	134,4745,308
995	1301,191,4097
996	17,2914,4608
997	5265,5734,2596
998	2903,3063,5551
999	230,2093,2069
1000	2641,3190,5700
1001	960,714,4073
1002	1320,2987,1729
1003	1281,1585,2501
1004	2063,2193,5729
1005	2073,4347,1659
1006	5835,1978,5841
1007	4154,276,5485
1008	3136,1363,1683
1009	2728,2666,5587
1010	4956,874,5241
1011	4467,6009,4820
1012	1722,5120,387
1013	5072,3859,5714
1014	5599,1969,1884
1015	21,3557,1880
1016	5184,5180,4734
1017	1334,1886,2897
1018	2560,3897,3441
1019	652,3060,2871
1020	4383,5601,3002
1021	4759,4300,1681
1022	4341,2538,1423
1023	4763,530,2297
1024	1255,2471,2301
1025	3068,811,706
1026	905,1321,4357
1027	5291,502,449
1028	3056,5493,4169
1029	2368,3153,5664
1030	1556,88,5908
1031	5176,602,2592
1032	658,5703,1602
1033	2856,253,5985
1034	991,1137,4101
1035	4940,726,4066
1036	5108,2479,3121
1037	2504,1281,1340
1038	4956,1729,1907
1039	808,5756,258
1040	683,3095,5390
1041	5995,4780,5307
1042	1242,2233,5897
1043	369,3939,4510
1044	1283,4572,5248
1045	2084,4655,1362
1046	2471,3102,1022
1047	3241,5013,1532
1048	4313,5525,322
1049	189,3812,4114
1050	1336,5028,2041
1051	461,4774,5235
1052	4314,1724,3216
1053	2675,3406,4361
1054	1843,837,4603
1055	5660,771,5068
1056	4857,2734,4435
1057	5802,1415,3239
1058	5537,507,6004
1059	114,2971,847
1060	4768,5049,2163
1061	3157,5879,2866
1062	3849,387,3688
1063	5392,2135,1312
1064	4665,1059,5042
1065	2166,3055,1934
1066	5384,2927,3758
1067	6008,2089,5256
1068	549,1165,3742
1069	4413,4915,1218
1070	199,2322,1146
1071	2646,1756,998
1072	1151,1059,5760
1073	2768,5914,2282
1074	1323,712,1708
1075	4760,1736,2541
1076	1494,407,1353
1077	3587,3712,2490
1078	4913,1266,584
1079	105,4357,3296
1080	224,2653,4059
1081	766,2200,843
1082	364,4570,3346
1083	5343,2227,1279
1084	84,5022,1150
1085	2550,2995,3487
1086	1879,5460,13
1087	5107,3022,1269
1088	4256,1815,4624
1089	4925,1199,3582
1090	2515,1097,2349
1091	2743,3785,1246
1092	1523,4488,5149
1093	4228,5866,4042
1094	685,2322,4891
1095	5222,4789,5517
1096	3700,3680,1370
1097	4992,13,2093
1098	5503,4798,3966
1099	622,1026,1771
1100	436,2886,2334
1101	2394,77,4137
1102	5191,1421,3492
1103	4044,4706,1477
1104	2202,523,3447
1105	4086,1674,2776
1106	1873,4917,5426
1107	3483,3928,5587
1108	2305,4518,4918
1109	5801,4736,3155
1110	319,1313,1695
1111	541,1782,651
1112	3233,5161,2589
1113	5134,3769,3309
1114	1678,2760,2870
1115	3862,890,1415
1116	4955,4293,5961
1117	4281,3782,203
1118	950,5586,4079
1119	6022,3846,2673
1120	5438,5520,5961
1121	2802,5148,926
1122	4413,158,2264
1123	5911,1785,3936
1124	4004,3941,4084
1125	2834,4055,3521
1126	3607,2550,4895
1127	1686,5941,4640
1128	171,5428,2889
1129	2944,992,4142
1130	4394,5234,2488
1131	5222,635,296
1132	2169,3015,684
1133	3193,1823,3398
1134	2188,958,3482
1135	3018,4944,765
1136	5277,406,4329
1137	1248,734,1804
1138	633,3136,1497
1139	2409,5262,4356
1140	2949,5289,4975
1141	859,4504,5762
1142	4575,3469,4734
1143	2545,1024,440
1144	902,3095,650
1145	5561,2461,2531
1146	3451,5963,3693
1147	3129,3151,402
1148	1578,1507,240
1149	357,1784,372
1150	810,3246,1131
1151	3063,329,4574
1152	2042,4049,5000
1153	2555,1343,3618
1154	67,4566,4365
1155	5337,5971,769
1156	2707,3546,1927
1157	4731,5376,1570
1158	3918,5900,2486
1159	1264,2584,4894
1160	311,4676,2440
1161	4214,2120,4738
1162	1953,1640,2916
1163	2271,162,4931
1164	1271,4239,546
1165	2326,1399,4412
1166	4200,2618,2090
1167	1870,6024,3111
1168	3695,1936,2873
1169	1643,5495,4568
1170	1788,4581,5194
1171	1698,3505,1480
1172	5654,3501,1020
1173	5344,1321,5300
1174	1014,1989,1894
1175	217,5485,254
1176	1061,3609,2822
1177	2738,5655,665
1178	5942,4195,3852
1179	5962,740,587
1180	1052,2087,1337
1181	2646,2915,525
1182	4290,387,3444
1183	4249,3907,5309
1184	5694,1502,2806
1185	3984,474,2887
1186	224,2762,2087
1187	353,3815,209
1188	5047,5819,5794
1189	1808,2843,5667
1190	4772,3753,3100
1191	2142,4904,437
1192	4117,2065,3490
1193	4554,4317,575
1194	1040,4732,5674
1195	4934,3630,47
1196	2869,1512,3477
1197	388,5156,2712
1198	5129,2118,4932
1199	5616,550,1089
1200	4927,3545,4458
1201	630,2038,2195
1202	1879,1647,790
1203	374,1809,2166
1204	5557,5661,795
1205	1402,4563,2473
1206	4192,4302,3972
1207	4545,4977,1749
1208	6015,3593,2896
1209	82,5837,2759
1210	5005,5520,4647
1211	5284,2255,4915
1212	5058,3290,105
1213	5158,3283,3563
1214	1805,795,2930
1215	1482,3404,484
1216	4513,1393,1045
1217	2378,1624,75
1218	4987,5194,4498
1219	503,5933,2164
1220	769,1994,4812
1221	4235,3937,933
1222	189,1146,991
1223	2842,3420,2050
1224	1252,2577,330
1225	2362,4158,2721
1226	1835,3160,66
1227	2468,3944,1998
1228	2946,3300,218
1229	4684,1000,276
1230	2514,1144,1392
1231	112,776,5760
1232	2406,2359,4423
1233	4268,4048,5704
1234	1372,2703,4719
1235	4189,5291,4099
1236	228,6023,2824
1237	1479,1289,3382
1238	4175,4117,154
1239	167,2171,3034
1240	3168,3381,2703
1241	3859,5474,1522
1242	4473,4992,2702
1243	3266,5886,4092
1244	584,1051,4583
1245	2971,1217,5113
1246	3226,2105,1036
1247	3841,2997,2566
1248	5250,2415,1612
1249	3359,4576,4579
1250	2639,5603,4074
1251	824,1982,2958
1252	3633,5876,3940
1253	5294,2318,1279
1254	2596,5502,23
1255	3120,4749,455
1256	2327,332,1975
1257	3252,4658,2557
1258	2889,1041,5374
1259	2369,2837,1629
1260	498,5850,2130
1261	3387,2580,5781
1262	1791,3644,3423
1263	2827,1263,1108
1264	2095,2352,1328
1265	2160,3183,2952
1266	3272,2210,5560
1267	2938,5018,315
1268	5452,4877,4486
1269	3848,1901,6007
1270	2562,127,1897
1271	5063,51,5931
1272	1039,2500,2581
1273	1066,3005,4783
1274	4537,4776,4445
1275	4728,2707,3710
1276	3139,5809,2722
1277	779,186,1067
1278	3546,1236,754
1279	3712,1190,3955
1280	2869,4336,3558
1281	186,2892,4126
1282	5305,4090,2446
1283	2245,5686,3728
1284	5635,4202,1107
1285	2372,2848,5098
1286	1342,5283,2403
1287	885,1543,1038
1288	4124,3225,2587
1289	971,2794,5946
1290	5030,1972,5398
1291	2003,5925,534
1292	4503,2981,4596
1293	397,4002,3753
1294	5602,1578,5753
1295	854,3230,5365
1296	4043,3909,3735
1297	5293,5708,2525
1298	16,5614,4306
1299	3459,3295,3206
1300	3914,2176,4380
1301	404,1307,2082
